IMO Municipality,rp1,rp2,rp3,rp4,rp5,rp6,rp7,rp8,rp9,rp10
Coeymans,https://townofcoeymans.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Colonie,https://townofcolonie.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
East Bloomfield,https://townofeastbloomfield.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Erwin,https://townoferwin.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Greene,https://townofgreene.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Mamaroneck,https://townofmamaroneck.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,1st 9,%20%20%20%20%20%20%20,10 through 13,&sitetype=,RES/COM,&siteNum=1
New Hartford,https://townofnewhartford.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
New Scotland,https://townofnewscotland.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Ontario,https://townofontario.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Patterson,https://townofpatterson.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Pelham,https://townofpelham.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Rye,https://townofrye.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Seneca Falls,https://townofsenecafalls.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Southeast,https://townofsoutheast.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Vernon,https://townofvernon.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Webb,https://townofwebb.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Webster,http://imo.ci.webster.ny.us/IMOPublic/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Corning,https://cityofcorning.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Lockport,https://cityoflockport.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
New Rochelle,https://cityofnewrochelle.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Rome,http://imo.romenewyork.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Syracuse,https://ocfintax.ongov.net/ImateSYR/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Tonawanda,https://cityoftonawanda.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Watertown,https://www.watertown-ny.gov/imo/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Yonkers,https://imo.yonkersny.gov/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
